Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;01.726;02.348
A;2;02.605;03.079
O;1;04.369;04.644
O;2;04.844;05.293
E;1;06.452;06.720
E;2;06.889;07.336
A;3;08.342;08.567
A;4;08.822;09.348
O;3;10.435;10.522
O;4;10.773;11.216
E;3;12.608;12.631
E;4;12.924;13.454
A;5;14.387;14.683
A;6;14.833;15.301
O;5;16.434;16.628
O;6;17.023;17.623
E;5;18.714;18.911
E;6;18.922;19.875
A;7;20.442;20.885
A;8;21.212;21.684
O;7;22.784;22.935
O;8;23.190;23.733
E;7;24.628;24.928
E;8;25.134;25.725
A;9;26.482;26.823
A;10;27.161;27.703
O;9;28.618;28.981
O;10;29.246;29.787
E;9;30.746;31.145
E;10;31.283;31.873
A;11;32.778;33.029
A;12;33.333;33.675
O;11;34.742;35.176
O;12;35.428;35.854
E;11;36.662;37.075
E;12;37.360;37.818
