Subject ID;Video ID;Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
sub001;vid001;A;1;00:00:01.726;00:00:02.348
sub001;vid001;A;2;00:00:02.605;00:00:03.079
sub001;vid001;O;1;00:00:04.369;00:00:04.644
sub001;vid001;O;2;00:00:04.844;00:00:05.293
sub001;vid001;E;1;00:00:06.452;00:00:06.720
sub001;vid001;E;2;00:00:06.889;00:00:07.336
sub001;vid001;A;3;00:00:08.342;00:00:08.567
sub001;vid001;A;4;00:00:08.822;00:00:09.348
sub001;vid001;O;3;00:00:10.435;00:00:10.522
sub001;vid001;O;4;00:00:10.773;00:00:11.216
sub001;vid001;E;3;00:00:12.608;00:00:12.631
sub001;vid001;E;4;00:00:12.924;00:00:13.454
sub001;vid001;A;5;00:00:14.387;00:00:14.683
sub001;vid001;A;6;00:00:14.833;00:00:15.301
sub001;vid001;O;5;00:00:16.434;00:00:16.628
sub001;vid001;O;6;00:00:17.023;00:00:17.623
sub001;vid001;E;5;00:00:18.714;00:00:18.911
sub001;vid001;E;6;00:00:18.922;00:00:19.875
sub001;vid001;A;7;00:00:20.442;00:00:20.885
sub001;vid001;A;8;00:00:21.212;00:00:21.684
sub001;vid001;O;7;00:00:22.784;00:00:22.935
sub001;vid001;O;8;00:00:23.190;00:00:23.733
sub001;vid001;E;7;00:00:24.628;00:00:24.928
sub001;vid001;E;8;00:00:25.134;00:00:25.725
sub001;vid001;A;9;00:00:26.482;00:00:26.823
sub001;vid001;A;10;00:00:27.161;00:00:27.703
sub001;vid001;O;9;00:00:28.618;00:00:28.981
sub001;vid001;O;10;00:00:29.246;00:00:29.787
sub001;vid001;E;9;00:00:30.746;00:00:31.145
sub001;vid001;E;10;00:00:31.283;00:00:31.873
sub001;vid001;A;11;00:00:32.778;00:00:33.029
sub001;vid001;A;12;00:00:33.333;00:00:33.675
sub001;vid001;O;11;00:00:34.742;00:00:35.176
sub001;vid001;O;12;00:00:35.428;00:00:35.854
sub001;vid001;E;11;00:00:36.662;00:00:37.075
sub001;vid001;E;12;00:00:37.360;00:00:37.818
