Buchstabe;Buchstabenr.;Timestamp start;Timestamp ende
A;1;2.146;2.338
A;2;2.503;2.706
O;1;3.882;4.148
O;2;4.183;4.509
E;1;5.589;5.846
E;2;5.966;6.275
A;3;7.504;7.731
A;4;7.902;8.213
O;3;9.183;9.362
O;4;9.521;9.859
E;3;10.665;11.047
E;4;11.192;11.457
A;5;12.460;12.636
A;6;12.825;13.151
O;5;14.065;14.265
O;6;14.471;14.814
E;5;15.714;15.946
E;6;16.133;16.417
A;7;17.464;17.643
A;8;17.780;18.073
O;7;18.998;19.306
O;8;19.461;19.718
E;7;20.833;21.055
E;8;21.193;21.450
A;9;22.495;22.719
A;10;22.873;23.147
O;9;24.125;24.435
O;10;24.605;24.851
E;9;25.815;26.097
E;10;26.271;26.539
A;11;27.468;27.691
A;12;27.863;28.236
O;11;29.114;29.440
O;12;29.526;29.817
E;11;30.790;31.052
E;12;31.191;31.446
